"variable_name" "label"
"activity" "Activity"
"" "1 	 WALKING"
"" "2 	 WALKING_UPSTAIRS"
"" "3 	 WALKING_DOWNSTAIRS"
"" "4 	 SITTING"
"" "5 	 STANDING"
"" "6 	 LAYING"
"subject" "Participant identifier"
"tBodyAcc-mean()-X" "Mean body movement time accelerometer X-axis (seconds)"
"tBodyAcc-mean()-Y" "Mean body movement time accelerometer Y-axis (seconds)"
"tBodyAcc-mean()-Z" "Mean body movement time accelerometer Z-axis (seconds)"
"tBodyAcc-std()-X" "Standard deviation of body movement time accelerometer X-axis (seconds)"
"tBodyAcc-std()-Y" "Standard deviation of body movement time accelerometer Y-axis (seconds)"
"tBodyAcc-std()-Z" "Standard deviation of body movement time accelerometer Z-axis (seconds)"
"tGravityAcc-mean()-X" "Mean time accelerometer X-axis (seconds)"
"tGravityAcc-mean()-Y" "Mean time accelerometer Y-axis (seconds)"
"tGravityAcc-mean()-Z" "Mean time accelerometer Z-axis (seconds)"
"tGravityAcc-std()-X" "Standard deviation of time accelerometer X-axis (seconds)"
"tGravityAcc-std()-Y" "Standard deviation of time accelerometer Y-axis (seconds)"
"tGravityAcc-std()-Z" "Standard deviation of time accelerometer Z-axis (seconds)"
"tBodyAccJerk-mean()-X" "Mean body movement time accelerometer jerk X-axis (seconds)"
"tBodyAccJerk-mean()-Y" "Mean body movement time accelerometer jerk Y-axis (seconds)"
"tBodyAccJerk-mean()-Z" "Mean body movement time accelerometer jerk Z-axis (seconds)"
"tBodyAccJerk-std()-X" "Standard deviation of body movement time accelerometer jerk X-axis (seconds)"
"tBodyAccJerk-std()-Y" "Standard deviation of body movement time accelerometer jerk Y-axis (seconds)"
"tBodyAccJerk-std()-Z" "Standard deviation of body movement time accelerometer jerk Z-axis (seconds)"
"tBodyGyro-mean()-X" "Mean body movement time gyroscope X-axis (seconds)"
"tBodyGyro-mean()-Y" "Mean body movement time gyroscope Y-axis (seconds)"
"tBodyGyro-mean()-Z" "Mean body movement time gyroscope Z-axis (seconds)"
